Roll number ,Student Name,Gender,C Programing(T),Java Programming(T),Digital Electronic(T),C Programming (P),Java Programming (P),Email
1,Rickert Sobieski,Male,16,7,36,69,1,rsobieski0@apple.com
2,Frederigo Gimert,Male,65,100,59,66,90,fgimert1@ucla.edu
3,Rurik Ilett,Male,84,47,48,11,95,rilett2@omniture.com
4,Shoshana Kulvear,Female,8,89,73,75,47,skulvear3@privacy.gov.au
5,Megen Rosedale,Female,93,62,60,1,75,mrosedale4@home.pl
6,Jolie Rosario,Female,8,74,10,99,5,jrosario5@dailymotion.com
7,Eduino Cartan,Male,7,20,98,77,51,ecartan6@meetup.com
8,Rodd Crandon,Male,18,70,70,51,55,rcrandon7@furl.net
9,Gussie Cawthera,Female,50,28,99,84,48,gcawthera8@dell.com
10,Dalli Symondson,Male,25,1,59,3,58,dsymondson9@skype.com
